UC Name,X,Y
Urban I,71.41620462,33.60327108
Ustarzai Payan,71.18026668,33.62385951
Toghbala I,71.54727788,33.58659405
Urban V,71.426,33.582
Alizai,71.2731,33.6372
Sherkot,71.2220633,33.660693
Toghbala II,71.5199,33.5762
Urban VI,71.4289,33.5617
Urban III,71.4076,33.6178
Gambat,71.69263966,33.50287074
Bili Tang,71.58978715,33.47651678
Khushal Garh,71.81479669,33.47797738
Kharmato,71.50266549,33.51292729
Urban II,71.4038,33.581
Chorlaki,71.90110577,33.62941146
Sargul,71.34344237,33.51055989
Muhammadzai,71.33597684,33.60321185
Ziarat Sheikh Allahdad,71.9198,33.6807
Shahpur,71.30505504,33.54271027
Dodha,71.50684634,33.43441416
Buhadurkot,71.48797692,33.59985163
Jurma,71.41029756,33.47651332
Nusrat khel,71.29264985,33.57847976
Samari Payan,71.4125,33.4494
Urban IV,71.4115,33.6314
Lachi Rural,71.2031131,33.40235406
Mandori,71.29406319,33.44510047
Shakardara Rural,71.64661428,33.22847287
Shakardara Urban,71.55462539,33.21484999
Soodal,71.53611742,33.35628556
Lachi Urban,71.41774648,33.30305517
Shakardara Rural II,71.6733,33.1419